"","responseid","responseset","name","externaldatareference","emailaddress","ipaddress","status","startdate","enddate","finished","resp_id","cortex_id","proj_id","consent","gender","yearbirth","live","mar_status","arereligious","rel_aff","rel_afftext","religious_how","education","pol_interest","voted","tiredofpolitics","donotbelievepoliticans","nopartiesrepinterest","nochancetowin","unitedwouldwin","protestvote","electionsdontmatter","electionshonest","notime","notinterested","votinghard","why_novoted_____e","why_novoted_____etext","who_voted","who_votedtext","nationality","nationalitytext","proud_nationality","proud_citizen","russia_civ","us_attitudes","anger_ur","anger_putin","anger_russia","media_use","channel1","Russia1","NTV","Russia24","RenTV","Channel5","TVC","STAR","Culture","Moscow24","localTV","RBCTV","OTR","Euronews","Savior","Rain","BBC","RT","LifeNews","CurrentTime","RTVI","otherfederalTV","otherforeignTV","dontwatch","yandex","mailru","lenta","rbc","sportsru","meduza","liferu","tvrainru","RTonline","gazetaru","newsru","utroru","radioliberty","echo","bbc","fontanka","foreignmedia","localmedia","federalchannels","nointernet","v95","v96","social_media_use","odnoklassniki","vkontakte","facebook","livejournal","twitter","nonesocialmedia","trust_media_foreign","trust_media_domestic","trust_media_internet","domestic_control","v109","v110","v111","v112","foreign_control","v114","v115","v116","v117","v118","domestic_treat1","v120","v121","v122","v123","v124","foreign_treat1","v126","v127","v128","v129","v130","domestic_treat2","v132","v133","v134","v135","v136","foreign_treat2","v138","v139","v140","v141","v142","credible_mech","interesting_mech","biased_mech","dvintro","country_corruption","putin_corruption","putin_economy","putin_approve","putin_thirdperson","know_alexei","vote_alexei","us_russia_relations","russia_democratic","v157","locationlatitude","locationlongitude","locationaccuracy","female","age","generation","young","city","married","orthodox","howreligious","polinterest","regimesupport","russian","usattitudes","anger_putin2","angryinsultputin","anger_russia2","angryinsultrussia","media_use2","media_use3","trust_media_foreign2","trustforeignmedia","trust_media_domestic2","trustdomesticmedia","trust_media_internet2","trustinternet","treatments","basictreat","treat3","treat2","domestic_treat","foreign_treat","domestic_treat_cb","foreign_treat_cb","criticism","balanced","biased","corrupt_country","x","disapproveputin","pc","pe","pa","y","putin","presumedputin4","vote_navalny","relations","_est_oppvote","higheducation","trustsource","start","end","time","_est_nonvote","_est_pvote","russia_civ2","mediachoice","voteputin","regimesupport_pure","polinterest4","democracy","trustscale","onlyforeignmedia","nonvoter","oppositionvoter","regimevoter","educ2","cem_strata","cem_matched","cem_weights","socialmediause","angryinsultur","angercriticism","tvuse","intuse","foreignmediause","fm_proportion","upset_criticism","mediatrust","foreignmedia_tv_count","foreignmedia_tv_prop","fm_prop2","_est_choice1","_est_choice2","_est_choice3","_est_choice4","_est_putin_choice","_est_nav_choice","_est_dem_choice","RD","outlier","pass"
"1","R_2AWLhohGCHh0JfA","Default Response Set","Anonymous",NA,NA,"217.10.38.139",0,"2/28/19 11:35","2/28/19 11:44",1,"C1877009720",1877009720,"S19005459",1,1,1974,"Big city",1,2,NA,"","Two or three times a year",10,"Somewhat interested","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",4,"","Russians","","Very proud","Very proud","Russia is a separate civilization that is not part of European or Asian (Eastern) civilizations","Neutral","Somewhat disagree","Somewhat agree","I completely agree","A television",1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,NA,NA,"About once a week",1,1,1,0,0,0,"Only in part","To a large extent","Only in part",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don't trust at all","Somewhat interesting","Partially biased",1,"Less","Neither approve or disapprove","Neither approve or disapprove","Approve","Most",1,"Definitely not","Ally",8,1,55.7527008056641,37.6172027587891,-1,"Male",45,"40-49","30+",1,1,0,"Two or three times a year","Interested in Politics","Regime Voter",1,"Neutral U.S.",1,"Somewhat agree",1,"I completely agree","Television","Television/Radio","Don't trust","Only in part","Trust","To a large extent","Don't trust","Only in part","Domestic One-Sided","Treatments","One-Sided","One-Sided","One-Sided",NA,"One-Sided",NA,"Domestic",NA,"Biased","Less",-0.287288069725037,0.41506764292717,3,3,4,0.287288069725037,0.584932327270508,"Most","No","Friendly",1,1,"Don't trust at all",1866972900000,1866973440000,9,1,1,"Seperate","Domestic Media",1,"Regime Voter",3,0.800000011920929,0.333333343267441,0,0,0,1,1,227,0,0,5,"Somewhat disagree",0.492186218500137,5,5,1,0.100000001490116,0.637528359889984,"Domestic Media Truther",1,0.200000002980232,0.100000001490116,1,1,1,1,1,1,1,5.70311307907104,1,1
"2","R_3h59CWevKzW6cen","Default Response Set","Anonymous",NA,NA,"176.15.103.147",0,"2/28/19 11:40","2/28/19 11:45",1,"C1877013113",1877013113,"S19005459",1,1,1980,"Big city",1,2,NA,"","Never, almost never",10,"Somewhat interested","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",9,"","Russians","","Somewhat proud","Somewhat proud","Russia is mainly part of European civilization","Somewhat good","Somewhat disagree","Somewhat disagree","Somewhat disagree","Internet",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,"Less than 1 time per month",0,1,0,0,0,0,"To a large extent","To a large extent","To a large extent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mostly trust","Somewhat interesting","Partially biased",1,"More","Neither approve or disapprove","Do not approve at all","Do not approve at all","Many but not most",1,"Definitely yes","Friend",3,1,45.0428009033203,41.9734039306641,-1,"Male",39,"30-39","30+",1,1,0,"Never, almost never","Interested in Politics","Opposition Voter",1,"Favorable U.S.",0,"Somewhat disagree",0,"Somewhat disagree","Internet","Internet","Trust","To a large extent","Trust","To a large extent","Trust","To a large extent","Foreign One-Sided","Treatments","One-Sided","One-Sided",NA,"One-Sided",NA,"One-Sided","Foreign",NA,"Biased","More",1.33360254764557,0.835290610790253,3,1,1,-1.33360254764557,0.164709404110909,"Many, but not Most","Yes","Friendly",1,1,"Mostly trust",1866973200000,1866973500000,5,1,1,"European civilization","Both",0,"Opposition Voter",3,0.300000011920929,0.5,0,0,1,0,1,212,1,1.16544117647059,2,"Somewhat disagree",-0.493222236633301,1,1,0,0,0.333333343267441,"Media Optimist",0,0,0,1,1,1,1,1,1,1,12.2258253097534,1,1
"3","R_1hxMExIqKfWO4Mp","Default Response Set","Anonymous",NA,NA,"31.162.4.244",0,"2/28/19 11:40","2/28/19 11:45",1,"C1877013170",1877013170,"S19005459",1,1,1976,"Big city",1,1,5,"","Never, almost never",7,"Very interested","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",4,"","Other","","Very proud","Very proud","Russia is a mixture of European and Asian (Eastern) civilization","Neutral","Somewhat agree","Somewhat agree","Somewhat agree","A television",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,"About once a month",0,1,0,0,0,0,"Only in part","Only in part","Only in part",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,"Mostly trust","Somewhat interesting","Partially biased",1,"Less","Disapprove","Disapprove","Neither approve or disapprove","Many but not most",1,"Probably not","Ally",5,1,58,56.25,-1,"Male",43,"40-49","30+",1,1,0,"Never, almost never","Interested in Politics","Regime Voter",0,"Neutral U.S.",1,"Somewhat agree",1,"Somewhat agree","Television","Television/Radio","Don't trust","Only in part","Don't trust","Only in part","Don't trust","Only in part","Domestic Balanced","Treatments","Balanced","Balanced","Balanced",NA,"Balanced",NA,NA,"Domestic","Biased","Less",0.677015900611877,0.665067672729492,2,2,3,-0.677015900611877,0.33493235707283,"Many, but not Most","No","Friendly",1,1,"Mostly trust",1866973200000,1866973500000,5,1,1,"Mixture","None",1,"Regime Voter",4,0.5,0.5,0,0,0,1,0,76,0,0,3,"Somewhat agree",0.512563526630402,1,1,0,0,0.666666686534882,"Media Skeptic",0,0,0,1,1,1,1,1,1,1,10.6218681335449,1,1
"4","R_1pFrL1Gw6cLLn68","Default Response Set","Anonymous",NA,NA,"89.254.232.154",0,"2/28/19 11:38","2/28/19 11:45",1,"C1877011720",1877011720,"S19005459",1,2,1988,"Small town",1,1,1,"","Two or three times a year",9,"Somewhat interested","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",4,"","Russians","","Very proud","Somewhat proud","Russia is mainly part of European civilization","Neutral","Somewhat agree","Somewhat disagree","Somewhat agree","Internet",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NA,NA,"Few times a week",1,0,1,0,0,0,"To a large extent","Only in part","Only in part",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mostly trust","Somewhat interesting","Not biased",1,"About the same","Neither approve or disapprove","Neither approve or disapprove","Neither approve or disapprove","Most",2,"Probably not","Ally",5,1,58.5968933105469,49.6582946777344,-1,"Female",31,"30-39","30+",0,1,1,"Two or three times a year","Interested in Politics","Regime Voter",1,"Neutral U.S.",0,"Somewhat disagree",1,"Somewhat agree","Internet","Internet","Trust","To a large extent","Don't trust","Only in part","Don't trust","Only in part","Domestic One-Sided","Treatments","One-Sided","One-Sided","One-Sided",NA,"One-Sided",NA,"Domestic",NA,"Not biased","About the same",0.0403143540024757,0.5,3,3,3,-0.0403143540024757,0.5,"Most","No","Friendly",1,1,"Mostly trust",1866973080000,1866973500000,7,1,1,"European civilization","Foreign Media",1,"Regime Voter",3,0.5,0.666666686534882,1,0,0,1,1,210,1,1,6,"Somewhat agree",0.18085204064846,1,4,0,0,0.542628109455109,"Foreign Media Truther",0,0,0,1,1,1,1,1,1,1,3.80676054954529,0,1
"5","R_eF1n3R1BOOGpDOh","Default Response Set","Anonymous",NA,NA,"185.154.73.247",0,"2/28/19 11:37","2/28/19 11:46",1,"C1877011065",1877011065,"S19005459",1,1,2001,"Big city",5,1,1,"","Never, almost never",3,"Little interested","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"",NA,"","Russians","","I'm not proud at all","Very proud","Russia is a separate civilization that is not part of European or Asian (Eastern) civilizations","Neutral","Somewhat disagree","Somewhat disagree","I completely agree","Internet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,"Daily / Almost Daily",0,1,0,0,0,0,"Only in part","To a large extent","Only in part",1,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mostly trust","Somewhat interesting","Partially biased",1,"About the same","Do not approve at all","Neither approve or disapprove","Neither approve or disapprove","Most",1,"Definitely not","Ally",7,1,47.2364044189453,39.7138977050781,-1,"Male",18,"18-29","18-29",1,0,1,"Never, almost never","Not Interested in Politics","Non-Voter",1,"Neutral U.S.",0,"Somewhat disagree",1,"I completely agree","Internet","Internet","Don't trust","Only in part","Trust","To a large extent","Don't trust","Only in part","Domestic Control","Control","Control",NA,"Control",NA,NA,NA,NA,NA,"Biased","About the same",0.675634145736694,0.664709448814392,1,3,3,-0.675634145736694,0.33529058098793,"Most","No","Friendly",1,0,"Mostly trust",1866973020000,1866973560000,9,1,1,"Seperate","Domestic Media",0,"Non-Voter",2,0.699999988079071,0.333333343267441,0,1,0,0,0,103,0,0,7,"Somewhat disagree",0.160474732518196,0,0,0,NA,0.513489782810211,"Domestic Media Truther",0,NA,0,1,1,1,1,0,0,0,NA,NA,1
"6","R_31iueuhqcPskKPX","Default Response Set","Anonymous",NA,NA,"217.118.95.125",0,"2/28/19 11:35","2/28/19 11:46",1,"C1877009679",1877009679,"S19005459",1,1,1990,"Big city",1,2,NA,"","Once a year",10,"Somewhat interested","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",10,"________ _________ __________","Russians","","Somewhat not proud","I'm not proud at all","Russia is a separate civilization that is not part of European or Asian (Eastern) civilizations","Neutral","Do not agree at all","Do not agree at all","Do not agree at all","A television",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,"Daily / Almost Daily",0,1,0,0,0,0,"Only in part","Do not trust at all","Only in part",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,"Mostly trust","Somewhat interesting","Partially biased",1,"More","Do not approve at all","Do not approve at all","Do not approve at all","Minority",1,"Definitely not","Enemy",0,1,51.6663970947266,39.1699981689453,-1,"Male",29,"18-29","18-29",1,1,0,"Once a year","Interested in Politics","Non-Voter",1,"Neutral U.S.",0,"Do not agree at all",0,"Do not agree at all","Television","Television/Radio","Don't trust","Only in part","Don't trust","Do not trust at all","Don't trust","Only in part","Domestic Balanced","Treatments","Balanced","Balanced","Balanced",NA,"Balanced",NA,NA,"Domestic","Biased","More",1.9689222574234,1,1,1,1,-1.9689222574234,0,"Minority","No","Unfriendly",1,1,"Mostly trust",1866972900000,1866973560000,11,1,1,"Seperate","None",0,"Non-Voter",3,0,0.666666686534882,0,1,0,0,1,174,0,0,7,"Do not agree at all",-1.49900805950165,3,3,1,0.16666667163372,0,"Media Skeptic",1,0.333333343267441,0.16666667163372,1,1,1,1,1,1,1,4.91999912261963,0,1
"7","R_3RvAIQvhJcEy7kM","Default Response Set","Anonymous",NA,NA,"195.211.79.115",0,"2/28/19 11:37","2/28/19 11:46",1,"C1877010945",1877010945,"S19005459",1,1,1972,"Big city",1,1,1,"","Two or three times a year",10,"Somewhat interested","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",4,"","Russians","","Very proud","Very proud","Russia is a mixture of European and Asian (Eastern) civilization","Neutral","Do not agree at all","Do not agree at all","I completely agree","A television",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,"Daily / Almost Daily",1,1,1,0,0,0,"Only in part","To a large extent","Do not trust at all",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,1,"Don't trust at all","Somewhat interesting","Partially biased",1,"Less","Approve","Neither approve or disapprove","Neither approve or disapprove","Most",1,"Probably not","Friend",6,1,55.7527008056641,37.6172027587891,-1,"Male",47,"40-49","30+",1,1,1,"Two or three times a year","Interested in Politics","Regime Voter",1,"Neutral U.S.",0,"Do not agree at all",1,"I completely agree","Television","Television/Radio","Don't trust","Only in part","Trust","To a large extent","Don't trust","Do not trust at all","Foreign Balanced","Treatments","Balanced","Balanced",NA,"Balanced",NA,"Balanced",NA,"Foreign","Biased","Less",-0.277345538139343,0.417645305395126,4,3,3,0.277345538139343,0.582354724407196,"Most","No","Friendly",1,1,"Don't trust at all",1866973020000,1866973560000,9,1,1,"Mixture","Domestic Media",1,"Regime Voter",3,0.600000023841858,0.333333343267441,0,0,0,1,1,227,0,0,7,"Do not agree at all",-0.518462538719177,17,3,1,0.0500000007450581,0.270234674215317,"Domestic Media Truther",2,0.117647059261799,0.0500000007450581,1,1,1,1,1,1,1,2.6762375831604,0,1
"8","R_117rtafvV6HPdWg","Default Response Set","Anonymous",NA,NA,"31.8.167.137",0,"2/28/19 11:39","2/28/19 11:47",1,"C1877012540",1877012540,"S19005459",1,1,1988,"Small town",5,1,1,"","Once a year",7,"Somewhat interested","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2,"","Russians","","Somewhat not proud","I'm not proud at all","Russia is mainly part of the Asian (Eastern) civilization","Very good","Somewhat disagree","Do not agree at all","Somewhat disagree","Internet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,"Daily / Almost Daily",0,1,1,0,0,0,"To a large extent","Do not trust at all","Only in part",NA,NA,NA,NA,NA,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mostly trust","Very interesting","Not biased",1,"More","Do not approve at all","Do not approve at all","Do not approve at all","Many but not most",1,"Definitely yes","Ally",2,1,54.3580932617188,59.4360961914062,-1,"Male",31,"30-39","30+",0,0,1,"Once a year","Interested in Politics","Opposition Voter",1,"Favorable U.S.",0,"Do not agree at all",0,"Somewhat disagree","Internet","Internet","Trust","To a large extent","Don't trust","Do not trust at all","Don't trust","Only in part","Foreign Control","Control","Control",NA,NA,"Control",NA,NA,NA,NA,"Not biased","More",1.9689222574234,1,1,1,1,-1.9689222574234,0,"Many, but not Most","Yes","Friendly",1,1,"Mostly trust",1866973140000,1866973620000,8,1,1,NA,"Foreign Media",0,"Opposition Voter",3,0.200000002980232,0.833333313465118,1,0,1,0,0,204,1,1,7,"Somewhat disagree",-0.824933767318726,0,2,0,0,0.209294781088829,"Foreign Media Truther",0,NA,0,1,1,1,1,1,1,1,3.31510186195374,0,1
"9","R_ZDl3X4DysMTPhhD","Default Response Set","Anonymous",NA,NA,"90.154.4.56",0,"2/28/19 11:38","2/28/19 11:48",1,"C1877011315",1877011315,"S19005459",1,2,1985,"Big city",1,1,1,"","Two or three times a year",10,"Very interested","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",4,"","Russians","","Very proud","Very proud","Russia is a mixture of European and Asian (Eastern) civilization","Somewhat good","Somewhat agree","Somewhat disagree","I completely agree","Internet",1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,"Daily / Almost Daily",1,1,1,0,1,0,"Only in part","To a large extent","To a large extent",1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mostly trust","Very interesting","Not biased",1,"About the same","Neither approve or disapprove","Approve","Neither approve or disapprove","Many but not most",1,"Maybe yes","Friend",7,1,55.7527008056641,37.6172027587891,-1,"Female",34,"30-39","30+",1,1,1,"Two or three times a year","Interested in Politics","Regime Voter",1,"Favorable U.S.",0,"Somewhat disagree",1,"I completely agree","Internet","Internet","Don't trust","Only in part","Trust","To a large extent","Trust","To a large extent","Domestic Control","Control","Control",NA,"Control",NA,NA,NA,NA,NA,"Not biased","About the same",-0.278727293014526,0.417287081480026,3,4,3,0.278727293014526,0.582712948322296,"Many, but not Most","Yes","Friendly",1,1,"Mostly trust",1866973080000,1866973680000,10,1,1,"Mixture","Domestic Media",1,"Regime Voter",4,0.699999988079071,0.333333343267441,0,0,0,1,1,67,1,0.932352941176471,7,"Somewhat agree",0.507700502872467,5,3,1,0.125,0.632706344127655,"Domestic Media Truther",1,0.200000002980232,0.125,1,1,1,1,1,1,1,2.86181545257568,0,1
"10","R_2dF1CJf0c4lF3rW","Default Response Set","Anonymous",NA,NA,"90.154.71.117",0,"2/28/19 11:43","2/28/19 11:48",1,"C1877014317",1877014317,"S19005459",1,1,2000,"Village",1,1,3,"","Once a year",3,"Not interested at all","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",3,"","Kazakhs","","I'm not proud at all","Somewhat proud","Russia is mainly part of European civilization","Somewhat bad","Somewhat agree","Somewhat disagree","Somewhat agree","Radio",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,"Never",0,0,0,0,0,0,"To a large extent","To a large extent","Only in part",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don't trust at all","Not interesting","Not biased",1,"About the same","Do not approve at all",NA,"Neither approve or disapprove","Many but not most",1,"Definitely yes","Ally",6,1,55.7527008056641,37.6172027587891,-1,"Male",19,"18-29","18-29",0,1,0,"Once a year","Not Interested in Politics","Regime Voter",0,"Unfavorable U.S.",0,"Somewhat disagree",1,"Somewhat agree",NA,"Television/Radio","Trust","To a large extent","Trust","To a large extent","Don't trust","Only in part","Foreign One-Sided","Treatments","One-Sided","One-Sided",NA,"One-Sided",NA,"One-Sided","Foreign",NA,"Not biased","About the same",NA,NA,1,NA,3,NA,NA,"Many, but not Most","Yes","Friendly",1,0,"Don't trust at all",1866973380000,1866973680000,5,1,1,"European civilization","Both",0,"Opposition Voter",1,0.600000023841858,0.5,0,0,0,1,0,4,0,0,1,"Somewhat agree",0.18085204064846,1,1,0,0,0.542628109455109,"Media Optimist",0,0,0,1,1,1,1,0,1,1,15.7276983261108,1,1
